"ItemId","ItemName","Brand","Model","Detail","SaleLimit","IsActive","CatId","FxSalePrice","UKey","Unt","CStk","CCost","RetailPrice","ItmDisc","QtyBelow","MinPrice","QtyUpTo"
"PaIcSMB1355001","Parts/tool","Ic","SMB1355001","","0","false","1","400",,"Pc","0","0","650","0","10","0","50"
"PaIcSN2501","Parts/tool","Ic","SN2501","","0","false","1","400",,"Pc","0","0","650","0","10","0","50"
"PaIcWTR2965","Parts/tool","Ic","WTR 2965","","0","false","1","300",,"Pc","0","0","450","0","10","0","50"
"PaNo108SPEKER","Parts/tool","Nokia","108 SPEKER","","2","false","1","12",,"Pc","0","0","15","0","10","0","50"
"PaNo1208TERMINE","Parts/tool","Nokia","1208 TERMINEL","","2","false","1","10",,"Pc","0","0","15","0","10","0","50"
"PaPoMBC","parts/tool","Popular","MBC","","2","false","1","180",,"Pc","0","0","200","0","10","0","50"
"PaSoMECHANICTYV","Parts/tool","CHINA","MECHANIC TY V866","","2","false","1","0",,"Pc","0","0","0","0","10","0","50"
"PaSuCC22","Parts/tool","IPHONE","CC2.2","","2","false","1","0",,"Pc","0","0","0","0","10","0","50"
"PaSuT306","Parts/tool","IPHONE","T3 0.6","","2","false","1","0",,"Pc","0","0","0","0","10","0","50"
"PaSuT415","Parts/tool","IPHONE","T4 1.5","","2","false","1","0",,"Pc","0","0","0","0","10","0","50"
"PaSuT508","Parts/tool","IPHONE","T5 0.8","","2","false","1","0",,"Pc","0","0","0","0","10","0","50"
"PaXrXRAY","Parts/tool","CHINA","XRAY","","2","false","1","0",,"Pc","0","0","0","0","10","0","50"
"pF15UORGSHAD","Org Shad","Oppo","F15u Org Shad A","","2","false","1","5700",,"Pc","0","0","6000","0","10","0","50"
"PIXLE4UINCE","Incel","Googel","Pixle4u Incell 4g","","2","false","1","5800",,"Pc","0","0","6200","0","10","0","50"
"PIXLE6AUIC","IC FRESH","Google","PIXLE6AU IC","","2","false","1","9200",,"Pc","0","0","9800","0","10","0","50"
"PIXLE6PROU","IC FRESH","Google","PIXEL 6 PRO","","2","false","1","7600",,"Pc","0","0","8500","0","10","0","50"
"PIXLE6PROUS","IC FRESH","Google","PIXLE6PROU SUNLONG","","2","false","1","9300",,"Pc","0","0","10000","0","10","0","50"
"PIXLE6U","IC FRESH","Google","PIXLE 6","","2","false","1","7800",,"Pc","0","0","9000","0","10","0","50"
"PIXLE7ASIMTR","Sim Tray","Google","PIXLE 7A SIM TRY","","2","false","1","150",,"Pc","0","0","400","0","10","0","50"
"PIXLE7Au","IC FRESH","Google","PIXEL 7A","","2","false","1","13000",,"Pc","0","0","14000","0","10","0","50"
"PIXLE7BT","Battery","Google","PIXLE 7 BATTERY","","2","false","1","1600",,"Pc","0","0","1700","0","10","0","50"
"PIXLE7PRO","IC FRESH","Google","PIXEL 7 PRO","","2","false","1","7200",,"Pc","0","0","7800","0","10","0","50"
"PIXLE7PROUS","IC FRESH","Google","PIXLE7PROU SUNLONG","","0","false","1","9300",,"Pc","0","0","10000","0","10","0","50"
"PIXLE7u","IC FRESH","Google","PIXEL 7","","2","false","1","9100",,"Pc","0","0","9500","0","10","0","50"
"POCOX3BACKBLACK","Back","Mi","POCO X3 BLACK","","2","false","1","330",,"Pc","0","0","450","0","10","0","50"
"POCOX3BACKBLUE","Back","Mi","POCO X3 BLUE","","2","false","1","330",,"Pc","0","0","400","0","10","0","50"
"PoOpF11PROFC","Popup Camera Moter","Oppo","F11 PRO","","2","false","1","450",,"Pc","0","0","700","0","10","0","50"
"PoOpRENO2FFC","Popup Camera Moter","Oppo","RENO 2F","","2","false","1","400",,"Pc","0","0","600","0","10","0","50"
"POP2BAC","Back","Tecno","POP2F THAM BLACK","","2","false","1","330",,"Pc","0","0","380","0","10","0","50"
"POP2BACKBLACK","Back","Tecno","POP 2 BLACK","","2","false","1","300",,"Pc","0","0","350","0","10","0","50"
"POP2BACKBLUE","Back","Tecno","POP 2 BLUE","","2","false","1","330",,"Pc","0","0","380","0","10","0","50"
"POP2BACKGOLDAN","Back","Tecno","POP2F GOLDAN","","2","false","1","330",,"Pc","0","0","380","0","10","0","50"
"POP2BODGOLGRN","Body","Tecno","POP 2 GOLGRN","","2","false","1","600",,"Pc","0","0","700","0","10","0","50"
"POP2U","Lcd Unit","Tecno","POP2 JP","","2","false","1","1370",,"Pc","0","0","1450","0","10","0","50"
"POP3BACKBLACK","Back","Tecno","POP 3 BLACK","","2","false","1","270",,"Pc","0","0","350","0","10","0","50"
"POP3BACKGOLDEN","Back","Tecno","POP 3 GOLDEN","","2","false","1","270",,"Pc","0","0","350","0","10","0","50"
"POP4BACKBLACK","Back","Tecno","POP 4 BLACK","","2","false","1","300",,"Pc","0","0","350","0","10","0","50"
"POP4BLUEBACK","Back","Tecno","POP 4 BLUE","","2","false","1","320",,"Pc","0","0","350","0","10","0","50"
"POP4LKEY","Side Key","Infinix","POP4LITE KEY","","2","false","1","80",,"Pc","0","0","150","0","10","0","50"
"POP4LT","Touch","Huawei","POP 4 LITE TOUCH","","2","false","1","220",,"Pc","0","0","250","0","10","0","50"
"POP4LU","Lcd Unit","Tecno","POP 4 LITE","","2","false","1","1650",,"Pc","0","0","1700","0","10","0","50"
"POP4LUDU","Lcd Unit","Tecno","POP4 LITE DELUXE","","2","false","1","1570",,"Pc","0","0","1650","0","10","0","50"
"POP5BACK","Back","Tecno","POP5LITE BLU","","2","false","1","300",,"Pc","0","0","350","0","10","0","50"
"POP5BACKBLACK","Back","Tecno","POP 5 BLACK","","2","false","1","350",,"Pc","0","0","450","0","10","0","50"
"POP5BACKGREEN","Back","Tecno","POP 5 GREEN","","2","false","1","330",,"Pc","0","0","380","0","10","0","50"
"POP5BLUEBACK","Back","Tecno","POP 5 BLUE","","2","false","1","330",,"Pc","0","0","380","0","10","0","50"
"POP5LITEBACKGRE","Back","Tecno","POP5LITE GREEN","","2","false","1","320",,"Pc","0","0","350","0","10","0","50"
"POP5LITEBACKSKY","Back","Tecno","POP5LITE SKY BLU","","0","false","1","320",,"Pc","0","0","400","0","10","0","50"
"POVA2BACKBLACK","Back","Tecno","POVA 2 BLACK","","2","false","1","300",,"Pc","0","0","350","0","10","0","50"
"POVA2BACKBLUE","Back","Tecno","POVA 2 BLUE","","2","false","1","330",,"Pc","0","0","380","0","10","0","50"
"POVABACKBLACK","Back","Tecno","POVA BLACK","","2","false","1","300",,"Pc","0","0","350","0","10","0","50"
"POVABACKBLUE","Back","Tecno","POVA BLUE","","2","false","1","320",,"Pc","0","0","400","0","10","0","50"
"POVANEWBACK","Back","Tecno","POVA NEW BLUE","","2","false","1","350",,"Pc","0","0","400","0","10","0","50"
